filename,category,fold
Passengers/10__10_07_13_marDeOnza_Sale_seg5.wav,Passengers,5
Passengers/10__10_07_13_marDeOnza_Sale_seg10.wav,Passengers,5
Passengers/10__10_07_13_marDeOnza_Sale_seg15.wav,Passengers,5
Passengers/10__10_07_13_marDeOnza_Sale_seg20.wav,Passengers,5
Passengers/10__10_07_13_marDeOnza_Sale_seg25.wav,Passengers,5
Passengers/10__10_07_13_marDeOnza_Sale_seg30.wav,Passengers,5
Passengers/11__10_07_13_minhoUno_Entra_seg5.wav,Passengers,5
Passengers/11__10_07_13_minhoUno_Entra_seg10.wav,Passengers,5
Passengers/11__10_07_13_minhoUno_Entra_seg15.wav,Passengers,5
Passengers/12__10_07_13_minhoUno_Sale_seg5.wav,Passengers,5
Passengers/12__10_07_13_minhoUno_Sale_seg10.wav,Passengers,5
Passengers/12__10_07_13_minhoUno_Sale_seg15.wav,Passengers,5
Passengers/12__10_07_13_minhoUno_Sale_seg20.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg5.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg10.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg15.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg20.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg25.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg30.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg35.wav,Passengers,5
Passengers/13__10_07_13_piraCies_Entra_seg40.wav,Passengers,5
Passengers/14__10_07_13_piraCies_Espera_seg5.wav,Passengers,5
Passengers/14__10_07_13_piraCies_Espera_seg10.wav,Passengers,5
Passengers/17__10_07_13_visionSub_Entra_seg5.wav,Passengers,5
Passengers/17__10_07_13_visionSub_Entra_seg10.wav,Passengers,5
Passengers/17__10_07_13_visionSub_Entra_seg15.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg5.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg10.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg15.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg20.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg25.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg30.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg35.wav,Passengers,5
Passengers/32__19_07_13_Arroios_llega_seg40.wav,Passengers,5
Passengers/34__19_07_13_MarDeOnza_Llega_seg5.wav,Passengers,5
Passengers/34__19_07_13_MarDeOnza_Llega_seg10.wav,Passengers,5
Passengers/34__19_07_13_MarDeOnza_Llega_seg15.wav,Passengers,5
Passengers/34__19_07_13_MarDeOnza_Llega_seg20.wav,Passengers,5
Passengers/35__19_07_13_MarDeOnza_sale_seg5.wav,Passengers,5
Passengers/35__19_07_13_MarDeOnza_sale_seg10.wav,Passengers,5
Passengers/35__19_07_13_MarDeOnza_sale_seg15.wav,Passengers,5
Passengers/38__19_07_13_Arroios_Sale_2entran_seg5.wav,Passengers,5
Passengers/38__19_07_13_Arroios_Sale_2entran_seg10.wav,Passengers,5
Passengers/38__19_07_13_Arroios_Sale_2entran_seg15.wav,Passengers,5
Passengers/38__19_07_13_Arroios_Sale_2entran_seg20.wav,Passengers,5
Passengers/40__19_07_13_MarDeCangas_Llega_Interf_seg5.wav,Passengers,5
Passengers/42__19_07_13_PirataCies_Sale_seg5.wav,Passengers,5
Passengers/42__19_07_13_PirataCies_Sale_seg10.wav,Passengers,5
Passengers/43__19_07_13_PirataDeCies_Llega_Interf_seg5.wav,Passengers,5
Passengers/43__19_07_13_PirataDeCies_Llega_Interf_seg10.wav,Passengers,5
Passengers/53__23_07_13_H3_PirataSalvora_Llega1_seg5.wav,Passengers,5
Passengers/53__23_07_13_H3_PirataSalvora_Llega1_seg10.wav,Passengers,5
