filename,category,fold,recording
Passengers/7__10_07_13_marDeCangas_Espera_seg6.wav,Passengers,1,7__10_07_13_marDeCangas_Espera
Passengers/55__23_07_13_H3_PirataSalvora_SALE2_seg13.wav,Passengers,3,55__23_07_13_H3_PirataSalvora_SALE2
Passengers/32__19_07_13_Arroios_llega_seg29.wav,Passengers,4,32__19_07_13_Arroios_llega
Passengers/63__23_07_13_H3_MarDeOnza_LLEGA_seg32.wav,Passengers,2,63__23_07_13_H3_MarDeOnza_LLEGA
Passengers/14__10_07_13_piraCies_Espera_seg1.wav,Passengers,1,14__10_07_13_piraCies_Espera
Passengers/67__23_07_13_H3_PirataCiesSale_seg8.wav,Passengers,3,67__23_07_13_H3_PirataCiesSale
Passengers/59__23_07_13_H2_MarDeMouro_seg21.wav,Passengers,1,59__23_07_13_H2_MarDeMouro
Passengers/53__23_07_13_H3_PirataSalvora_Llega1_seg29.wav,Passengers,4,53__23_07_13_H3_PirataSalvora_Llega1
Passengers/13__10_07_13_piraCies_Entra_seg19.wav,Passengers,4,13__10_07_13_piraCies_Entra
Passengers/6__10_07_13_marDeCangas_Entra_seg58.wav,Passengers,3,6__10_07_13_marDeCangas_Entra
RORO/18__18_07_13_AutoPrideEntra_seg31.wav,RORO,1,18__18_07_13_AutoPrideEntra
RORO/18__18_07_13_AutoPrideEntra_seg8.wav,RORO,3,18__18_07_13_AutoPrideEntra
RORO/19__18_07_13_AutoprideMarchaAtras_seg54.wav,RORO,4,19__18_07_13_AutoprideMarchaAtras
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg44.wav,RORO,4,58__23_07_13_H2_EimskipReefer_Pesquerito1
RORO/78__23_07_13_H3_vikingChance_seg32.wav,RORO,2,78__23_07_13_H3_vikingChance
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg32.wav,RORO,2,58__23_07_13_H2_EimskipReefer_Pesquerito1
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg21.wav,RORO,1,58__23_07_13_H2_EimskipReefer_Pesquerito1
RORO/19__18_07_13_AutoprideMarchaAtras_seg52.wav,RORO,2,19__18_07_13_AutoprideMarchaAtras
RORO/18__18_07_13_AutoPrideEntra_seg12.wav,RORO,2,18__18_07_13_AutoPrideEntra
RORO/19__18_07_13_AutoprideMarchaAtras_seg6.wav,RORO,1,19__18_07_13_AutoprideMarchaAtras
Natural ambient noise/92__E__8H_N_seg12.wav,Natural ambient noise,2,92__E__8H_N
Natural ambient noise/84__27_09_13_H3_viento_seg23.wav,Natural ambient noise,3,84__27_09_13_H3_viento
Natural ambient noise/83__27_09_13_H3_oleaje_seg19.wav,Natural ambient noise,4,83__27_09_13_H3_oleaje
Natural ambient noise/88__E__4L_seg14.wav,Natural ambient noise,4,88__E__4L
