filename,category,fold,recording_id
Motorboat/21__18_07_13_lanchaMotora_seg1.wav,Motorboat,1,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg2.wav,Motorboat,2,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg3.wav,Motorboat,3,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg4.wav,Motorboat,4,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg5.wav,Motorboat,5,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg6.wav,Motorboat,1,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg7.wav,Motorboat,2,21__18_07_13_lanchaMotora
Motorboat/21__18_07_13_lanchaMotora_seg8.wav,Motorboat,3,21__18_07_13_lanchaMotora
Motorboat/26__19_07_13_Lancha_seg1.wav,Motorboat,1,26__19_07_13_Lancha
Motorboat/26__19_07_13_Lancha_seg2.wav,Motorboat,2,26__19_07_13_Lancha
Motorboat/26__19_07_13_Lancha_seg3.wav,Motorboat,3,26__19_07_13_Lancha
Motorboat/26__19_07_13_Lancha_seg4.wav,Motorboat,4,26__19_07_13_Lancha
Motorboat/27__19_07_13_Lancha2_seg1.wav,Motorboat,1,27__19_07_13_Lancha2
Motorboat/27__19_07_13_Lancha2_seg2.wav,Motorboat,2,27__19_07_13_Lancha2
Motorboat/27__19_07_13_Lancha2_seg3.wav,Motorboat,3,27__19_07_13_Lancha2
Motorboat/27__19_07_13_Lancha2_seg4.wav,Motorboat,4,27__19_07_13_Lancha2
Motorboat/27__19_07_13_Lancha2_seg5.wav,Motorboat,5,27__19_07_13_Lancha2
Motorboat/27__19_07_13_Lancha2_seg6.wav,Motorboat,1,27__19_07_13_Lancha2
Motorboat/33__19_07_13_lanchaDuda_Sale_seg1.wav,Motorboat,1,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg2.wav,Motorboat,2,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg3.wav,Motorboat,3,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg4.wav,Motorboat,4,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg5.wav,Motorboat,5,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg6.wav,Motorboat,1,33__19_07_13_lanchaDuda_Sale
Motorboat/33__19_07_13_lanchaDuda_Sale_seg7.wav,Motorboat,2,33__19_07_13_lanchaDuda_Sale
Motorboat/39__19_07_13_lanchaMotora_Entra_seg1.wav,Motorboat,1,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg2.wav,Motorboat,2,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg3.wav,Motorboat,3,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg4.wav,Motorboat,4,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg5.wav,Motorboat,5,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg6.wav,Motorboat,1,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg7.wav,Motorboat,2,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg8.wav,Motorboat,3,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg9.wav,Motorboat,4,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg10.wav,Motorboat,5,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg11.wav,Motorboat,1,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg12.wav,Motorboat,2,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg13.wav,Motorboat,3,39__19_07_13_lanchaMotora_Entra
Motorboat/39__19_07_13_lanchaMotora_Entra_seg14.wav,Motorboat,4,39__19_07_13_lanchaMotora_Entra
Motorboat/45__19_07_13_yate_Sale_seg1.wav,Motorboat,1,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg2.wav,Motorboat,2,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg3.wav,Motorboat,3,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg4.wav,Motorboat,4,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg5.wav,Motorboat,5,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg6.wav,Motorboat,1,45__19_07_13_yate_Sale
Motorboat/45__19_07_13_yate_Sale_seg7.wav,Motorboat,2,45__19_07_13_yate_Sale
