filename,category,fold,recording_id
Dredger/80__04_10_12_adricristuy_seg1.wav,Dredger,1,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg2.wav,Dredger,2,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg3.wav,Dredger,3,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg4.wav,Dredger,4,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg5.wav,Dredger,5,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg6.wav,Dredger,1,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg7.wav,Dredger,2,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg8.wav,Dredger,3,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg9.wav,Dredger,4,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg10.wav,Dredger,5,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg11.wav,Dredger,1,80__04_10_12_adricristuy
Dredger/80__04_10_12_adricristuy_seg12.wav,Dredger,2,80__04_10_12_adricristuy
Dredger/93__A__Draga_1_seg1.wav,Dredger,1,93__A__Draga_1
Dredger/93__A__Draga_1_seg2.wav,Dredger,2,93__A__Draga_1
Dredger/93__A__Draga_1_seg3.wav,Dredger,3,93__A__Draga_1
Dredger/93__A__Draga_1_seg4.wav,Dredger,4,93__A__Draga_1
Dredger/93__A__Draga_1_seg5.wav,Dredger,5,93__A__Draga_1
Dredger/93__A__Draga_1_seg6.wav,Dredger,1,93__A__Draga_1
Dredger/94__A__Draga_2_seg1.wav,Dredger,1,94__A__Draga_2
Dredger/94__A__Draga_2_seg2.wav,Dredger,2,94__A__Draga_2
Dredger/94__A__Draga_2_seg3.wav,Dredger,3,94__A__Draga_2
Dredger/94__A__Draga_2_seg4.wav,Dredger,4,94__A__Draga_2
Dredger/94__A__Draga_2_seg5.wav,Dredger,5,94__A__Draga_2
Dredger/94__A__Draga_2_seg6.wav,Dredger,1,94__A__Draga_2
Dredger/94__A__Draga_2_seg7.wav,Dredger,2,94__A__Draga_2
Dredger/94__A__Draga_2_seg8.wav,Dredger,3,94__A__Draga_2
Dredger/94__A__Draga_2_seg9.wav,Dredger,4,94__A__Draga_2
Dredger/94__A__Draga_2_seg10.wav,Dredger,5,94__A__Draga_2
Dredger/95__A__Draga_3_seg1.wav,Dredger,1,95__A__Draga_3
Dredger/95__A__Draga_3_seg2.wav,Dredger,2,95__A__Draga_3
Dredger/95__A__Draga_3_seg3.wav,Dredger,3,95__A__Draga_3
Dredger/95__A__Draga_3_seg4.wav,Dredger,4,95__A__Draga_3
Dredger/95__A__Draga_3_seg5.wav,Dredger,5,95__A__Draga_3
Dredger/95__A__Draga_3_seg6.wav,Dredger,1,95__A__Draga_3
Dredger/95__A__Draga_3_seg7.wav,Dredger,2,95__A__Draga_3
Dredger/95__A__Draga_3_seg8.wav,Dredger,3,95__A__Draga_3
Dredger/95__A__Draga_3_seg9.wav,Dredger,4,95__A__Draga_3
Dredger/95__A__Draga_3_seg10.wav,Dredger,5,95__A__Draga_3
Dredger/95__A__Draga_3_seg11.wav,Dredger,1,95__A__Draga_3
Dredger/95__A__Draga_3_seg12.wav,Dredger,2,95__A__Draga_3
Dredger/96__A__Draga_4_seg1.wav,Dredger,1,96__A__Draga_4
Dredger/96__A__Draga_4_seg2.wav,Dredger,2,96__A__Draga_4
Dredger/96__A__Draga_4_seg3.wav,Dredger,3,96__A__Draga_4
Dredger/96__A__Draga_4_seg4.wav,Dredger,4,96__A__Draga_4
Dredger/96__A__Draga_4_seg5.wav,Dredger,5,96__A__Draga_4
Dredger/96__A__Draga_4_seg6.wav,Dredger,1,96__A__Draga_4
Dredger/96__A__Draga_4_seg7.wav,Dredger,2,96__A__Draga_4
Dredger/96__A__Draga_4_seg8.wav,Dredger,3,96__A__Draga_4
Dredger/96__A__Draga_4_seg9.wav,Dredger,4,96__A__Draga_4
Dredger/96__A__Draga_4_seg10.wav,Dredger,5,96__A__Draga_4
Dredger/96__A__Draga_4_seg11.wav,Dredger,1,96__A__Draga_4
Dredger/96__A__Draga_4_seg12.wav,Dredger,2,96__A__Draga_4
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg1.wav,Fishboat,1,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg2.wav,Fishboat,2,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg3.wav,Fishboat,3,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg4.wav,Fishboat,4,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg5.wav,Fishboat,5,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg6.wav,Fishboat,1,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg7.wav,Fishboat,2,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg8.wav,Fishboat,3,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg9.wav,Fishboat,4,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg10.wav,Fishboat,5,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg11.wav,Fishboat,1,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg12.wav,Fishboat,2,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg13.wav,Fishboat,3,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg14.wav,Fishboat,4,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg15.wav,Fishboat,5,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg16.wav,Fishboat,1,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg17.wav,Fishboat,2,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg18.wav,Fishboat,3,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg19.wav,Fishboat,4,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg20.wav,Fishboat,5,73__23_07_13_H3_pesqMariCarmen
Fishboat/73__23_07_13_H3_pesqMariCarmen_seg21.wav,Fishboat,1,73__23_07_13_H3_pesqMariCarmen
