epoch,lr,supcon,ce,triplet,proto_rep,AUROC,AUPRC,Silhouette
1,0.000021,1.0082,1.6234,1.2726,0.4394,nan,nan,0.071
2,0.000046,0.1325,1.4073,0.7209,0.3953,nan,nan,0.259
3,0.000084,0.0262,1.2744,0.4141,0.1759,nan,nan,0.390
4,0.000131,0.0107,0.8077,0.2931,0.0061,nan,nan,0.587
5,0.000181,0.0067,0.2665,0.2471,0.0033,nan,nan,0.587
6,0.000228,0.0025,0.1131,0.1307,0.0043,nan,nan,0.655
7,0.000266,0.0005,0.0435,0.0405,0.0029,nan,nan,0.728
8,0.000291,0.0117,0.0951,0.2114,0.0038,nan,nan,0.588
9,0.000300,0.0005,0.0343,0.0208,0.0048,nan,nan,0.802
10,0.000298,0.0005,0.0069,0.0070,0.0043,nan,nan,0.791
11,0.000293,0.0001,0.0045,0.0096,0.0024,nan,nan,0.733
12,0.000285,0.0093,0.0824,0.1703,0.0048,nan,nan,0.738
13,0.000274,0.0009,0.0185,0.0191,0.0043,nan,nan,0.811
14,0.000260,0.0009,0.0086,0.0171,0.0038,nan,nan,0.769
15,0.000243,0.0000,0.0052,0.0045,0.0038,nan,nan,0.823
16,0.000225,0.0000,0.0018,0.0009,0.0043,nan,nan,0.830
17,0.000205,0.0014,0.0067,0.0210,0.0043,nan,nan,0.795
18,0.000183,0.0000,0.0027,0.0017,0.0048,nan,nan,0.813
19,0.000161,0.0000,0.0014,0.0009,0.0067,nan,nan,0.829
20,0.000139,0.0000,0.0011,0.0023,0.0024,nan,nan,0.821
21,0.000117,0.0000,0.0014,0.0033,0.0048,nan,nan,0.828
22,0.000095,0.0000,0.0010,0.0014,0.0038,nan,nan,0.833
23,0.000075,0.0000,0.0007,0.0006,0.0024,nan,nan,0.833
24,0.000056,0.0001,0.0009,0.0026,0.0052,nan,nan,0.830
25,0.000040,0.0000,0.0006,0.0006,0.0043,nan,nan,0.832
26,0.000026,0.0000,0.0006,0.0004,0.0048,nan,nan,0.833
27,0.000015,0.0000,0.0004,0.0000,0.0043,nan,nan,0.836
28,0.000007,0.0000,0.0004,0.0002,0.0048,nan,nan,0.836
29,0.000002,0.0000,0.0004,0.0003,0.0033,nan,nan,0.835
30,0.000000,0.0000,0.0004,0.0001,0.0081,nan,nan,0.838
