epoch,lr,supcon,ce,triplet,proto_rep,AUROC,AUPRC,Silhouette
1,0.000007,1.8107,2.1016,2.1325,0.3169,0.660,0.843,-0.061
2,0.000017,1.8275,2.0307,1.2978,0.5399,0.826,0.913,-0.061
3,0.000031,1.7188,1.9181,1.1266,0.4771,0.794,0.896,-0.077
4,0.000048,1.2863,1.8131,1.4450,0.2669,0.779,0.872,0.001
5,0.000065,0.7596,1.7686,1.2647,0.1504,0.776,0.869,0.076
6,0.000081,0.4957,1.7261,1.0668,0.1089,0.604,0.771,0.125
7,0.000093,0.3450,1.6867,0.8579,0.0806,0.765,0.855,0.179
8,0.000099,0.2200,1.6383,0.7192,0.0561,0.550,0.777,0.233
9,0.000100,0.1634,1.5491,0.7451,0.0356,0.722,0.831,0.273
10,0.000099,0.1418,1.4690,0.7558,0.0107,0.588,0.764,0.315
11,0.000096,0.1048,1.4149,0.6077,0.0173,0.565,0.774,0.348
12,0.000093,0.0537,1.2959,0.5818,0.0100,0.547,0.762,0.386
13,0.000088,0.0612,1.2105,0.5095,0.0103,0.581,0.757,0.422
14,0.000082,0.0458,1.1051,0.4841,0.0095,0.630,0.781,0.460
15,0.000076,0.0200,0.9910,0.3855,0.0095,0.581,0.766,0.500
16,0.000069,0.0091,0.9098,0.3801,0.0143,0.555,0.747,0.516
17,0.000062,0.0049,0.8037,0.3402,0.0190,0.506,0.742,0.520
18,0.000054,0.0151,0.6971,0.3782,0.0190,0.491,0.737,0.577
